Lieu	N° région, département	Série	Unité	2004	2008
PROVENCE-ALPES-COTE D AZUR	93	RA08Anciens sites assainis ou en cours d'assainissement	nombre	2.0	6.0
PROVENCE-ALPES-COTE D AZUR	93	RA08Total des sites (non compris les sites assainis ou en cours d'assainissement)	nombre	85.0	90.0
RHONE-ALPES	82	RA08Centres d'études et de recherche du CEA civil	nombre	3.0	2.0
RHONE-ALPES	82	RA08Etablissements de recherche (hors CEA)	nombre	44.0	53.0
RHONE-ALPES	82	RA08Installations industrielles (hors production d'électricité)	nombre	3.0	6.0
RHONE-ALPES	82	RA08Centres nucléaires de production d'électricité	nombre	6.0	7.0
RHONE-ALPES	82	RA08Activités médicales	nombre	19.0	22.0
RHONE-ALPES	82	RA08Etablissements de la défense nationale	nombre	6.0	4.0
RHONE-ALPES	82	RA08Centre d'étude, de production ou d'expérimentation de la force de dissuasion	nombre	3.0	2.0
RHONE-ALPES	82	RA08Amont du cycle du combustible	nombre	8.0	9.0
RHONE-ALPES	82	RA08Aval du cycle du combustible	nombre	0.0	0.0
RHONE-ALPES	82	RA08Etablissements de traitements des déchets ou de maintenance	nombre	0.0	1.0
RHONE-ALPES	82	RA08Sites d'entreposage et stockage	nombre	6.0	6.0
RHONE-ALPES	82	RA08Anciens sites assainis ou en cours d'assainissement	nombre	3.0	4.0
RHONE-ALPES	82	RA08Total des sites (non compris les sites assainis ou en cours d'assainissement)	nombre	98.0	112.0
Producteur : ANDRA.
Source : Inventaire ANDRA des déchets radioactifs.
