Lieu	N° région, département	Série	Unité	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
FRANCHE COMTE	43	EA04Hauteur des précipitations totales	mm	1274.0	1549.0	1487.0	1448.0	1240.0	1091.0	1346.0	1390.0	1463.0	1044.0	1240.0	1075.0	1315.0	1335.0	1375.0	1509.0	1130.0	1182.0	1267.0	1639.0	1350.0	1515.0	1403.0	939.0	1233.0	1049.0	1373.0	1384.0	1345.0	1107.0	1186.0	1070.0	1503.0
FRANCHE COMTE	43	EA04Hauteur des précipitations efficaces	mm	709.0	966.0	833.0	904.0	689.0	506.0	743.0	801.0	832.0	434.0	581.0	507.0	690.0	716.0	762.0	888.0	546.0	513.0	673.0	1005.0	689.0	895.0	774.0	237.0	604.0	364.0	ND	ND	621.0	430.0	523.0	368.0	777.0
France métropolitaine		EA04Volume des précipitations totales	 Millions m3	497610.414	576039.865	535187.317	479049.357	536933.039	402891.442	519256.862	501145.766	533617.563	379675.402	459165.619	413147.84	528411.382	522249.956	581682.157	527236.321	496828.182	463808.844	484390.259	583384.496	572445.26	543308.417	535513.454	432089.143	476383.592	401743.031	509886.17	509243.845	562079.71	474837.416	481480.139	427648.193	516508.7
France métropolitaine		EA04Superficie du territoire considéré pour les précipitations	 km²	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39
France métropolitaine		EA04Volume des pluies efficaces	 Millions m3	194712.241	254406.209	215880.769	179494.968	209653.937	132236.145	219842.047	180439.764	223057.421	95604.819	141966.105	121666.247	183399.797	196812.776	245128.657	218244.033	189466.858	128991.694	181710.321	238199.821	224108.867	222820.523	185733.841	86952.302	149825.512	75970.769	ND	121567.723	203834.792	159004.655	174155.91	117553.188	179435.723
France métropolitaine		EA04Superficie du territoire considéré pour les pluies efficaces	 km²	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39	549825.39
France métropolitaine		EA04Hauteur des précipitations totales	mm	905.0	1048.0	973.0	871.0	977.0	733.0	944.0	911.0	971.0	691.0	835.0	751.0	961.0	950.0	1058.0	959.0	904.0	844.0	881.0	1061.0	1041.0	988.0	974.0	786.0	866.0	731.0	927.0	926.0	1022.0	864.0	876.0	778.0	939.0
France métropolitaine		EA04Hauteur des précipitations efficaces	mm	354.0	463.0	393.0	326.0	381.0	241.0	400.0	328.0	406.0	174.0	258.0	221.0	334.0	358.0	446.0	397.0	345.0	235.0	330.0	433.0	408.0	405.0	338.0	158.0	272.0	138.0	ND	ND	371.0	289.0	317.0	214.0	326.0
HAUTE NORMANDIE	23	EA04Volume des précipitations totales	 Millions m3	11207.098	12267.637	11017.729	9575.317	10768.173	8773.311	10922.881	10652.388	11509.536	7634.21	8769.788	8561.966	10600.212	11033.736	12120.993	10009.336	7383.511	9459.084	11141.854	12714.591	13552.126	12805.99	11838.183	8486.036	9585.872	8888.423	10523.022	11378.275	10586.392	9142.249	9018.232	9663.123	11492.052
HAUTE NORMANDIE	23	EA04Superficie du territoire considéré pour les précipitations	 km²	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467
