Lieu	N° région, département	Série	Unité	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008
MIDI-PYRENEES	73	LO06Nombre de vente d'appartements neufs (réservation avec dépôt d'arrhes)	 Nombre	2127.0	1863.0	3020.0	3851.0	5655.0	3772.0	3406.0	3228.0	3292.0	3504.0	2361.0	3243.0	3907.0	4977.0	6011.0	4318.0	5013.0	5006.0	6767.0	7508.0	7529.0	8622.0	7347.0	4081.0
MIDI-PYRENEES	73	LO06Prix de vente moyen d'un appartement neuf (en euros/m2)	 euro/m2	1089.0	1136.0	1203.0	1363.0	1339.0	1370.0	1414.0	1462.0	1469.0	1516.0	1526.0	1534.0	1577.0	1650.0	1656.0	1679.0	1775.0	1955.0	2055.0	2258.0	2525.0	2747.0	2936.0	2999.0
NORD-PAS-DE-CALAIS	31	LO06Nombre de ventes de maisons individuelles neuves (réservation avec dépôt d'arrhes)	 Nombre	2753.0	2384.0	1947.0	1593.0	1269.0	720.0	460.0	331.0	342.0	457.0	302.0	395.0	587.0	799.0	756.0	667.0	740.0	925.0	1021.0	1100.0	1362.0	1177.0	1020.0	800.0
NORD-PAS-DE-CALAIS	31	LO06Prix de vente moyen d'une maison individuelle neuve (en euros)	 euros	71000.0	74100.0	75200.0	77100.0	78800.0	82000.0	93900.0	105800.0	109000.0	132600.0	130705.0	132559.0	117747.0	125955.0	129440.0	141058.0	133722.0	135976.0	151555.0	170355.0	188864.0	209947.0	224164.0	220789.0
NORD-PAS-DE-CALAIS	31	LO06Nombre de vente d'appartements neufs (réservation avec dépôt d'arrhes)	 Nombre	655.0	770.0	1019.0	1225.0	1361.0	1341.0	1545.0	1702.0	1755.0	1845.0	1437.0	1694.0	2060.0	2415.0	2398.0	1207.0	1460.0	1480.0	1859.0	2367.0	2673.0	2605.0	2326.0	1940.0
NORD-PAS-DE-CALAIS	31	LO06Prix de vente moyen d'un appartement neuf (en euros/m2)	 euro/m2	1212.0	1171.0	1256.0	1292.0	1318.0	1443.0	1534.0	1560.0	1590.0	1721.0	1671.0	1668.0	1639.0	1670.0	1698.0	1796.0	1812.0	1835.0	1938.0	2183.0	2417.0	2673.0	2894.0	3007.0
PAYS DE LA LOIRE	52	LO06Nombre de ventes de maisons individuelles neuves (réservation avec dépôt d'arrhes)	 Nombre	2035.0	1565.0	1430.0	2041.0	1962.0	1652.0	1307.0	1026.0	745.0	796.0	728.0	594.0	826.0	840.0	1215.0	864.0	845.0	1089.0	1205.0	1294.0	1176.0	1056.0	1097.0	752.0
PAYS DE LA LOIRE	52	LO06Prix de vente moyen d'une maison individuelle neuve (en euros)	 euros	53400.0	68900.0	72900.0	73600.0	78100.0	83800.0	83100.0	85400.0	87800.0	87000.0	88273.0	94664.0	96758.0	103497.0	109770.0	121400.0	137907.0	140683.0	156651.0	161964.0	173010.0	195486.0	190816.0	193470.0
PAYS DE LA LOIRE	52	LO06Nombre de vente d'appartements neufs (réservation avec dépôt d'arrhes)	 Nombre	2560.0	2372.0	3615.0	4982.0	5261.0	4403.0	4249.0	3781.0	4128.0	4959.0	3815.0	3797.0	3806.0	4485.0	4786.0	2783.0	2822.0	3557.0	4444.0	4927.0	5249.0	5869.0	5350.0	3364.0
PAYS DE LA LOIRE	52	LO06Prix de vente moyen d'un appartement neuf (en euros/m2)	 euro/m2	1116.0	1236.0	1336.0	1334.0	1470.0	1530.0	1555.0	1617.0	1660.0	1624.0	1603.0	1612.0	1640.0	1653.0	1671.0	1792.0	1810.0	1942.0	2083.0	2381.0	2620.0	2719.0	2903.0	3027.0
