Lieu	N° région, département	Série	Unité	2004	2008
COTES-D ARMOR	22	RA08Etablissements de recherche (hors CEA)	nombre	0.0	0.0
COTES-D ARMOR	22	RA08Installations industrielles (hors production d'électricité)	nombre	0.0	0.0
COTES-D ARMOR	22	RA08Centres nucléaires de production d'électricité	nombre	0.0	0.0
COTES-D ARMOR	22	RA08Activités médicales	nombre	2.0	1.0
COTES-D ARMOR	22	RA08Etablissements de la défense nationale	nombre	0.0	0.0
COTES-D ARMOR	22	RA08Centre d'étude, de production ou d'expérimentation de la force de dissuasion	nombre	0.0	0.0
COTES-D ARMOR	22	RA08Amont du cycle du combustible	nombre	0.0	0.0
COTES-D ARMOR	22	RA08Aval du cycle du combustible	nombre	0.0	0.0
COTES-D ARMOR	22	RA08Etablissements de traitements des déchets ou de maintenance	nombre	0.0	0.0
COTES-D ARMOR	22	RA08Sites d'entreposage et stockage	nombre	0.0	0.0
COTES-D ARMOR	22	RA08Anciens sites assainis ou en cours d'assainissement	nombre	0.0	0.0
COTES-D ARMOR	22	RA08Total des sites (non compris les sites assainis ou en cours d'assainissement)	nombre	2.0	1.0
CREUSE	23	RA08Centres d'études et de recherche du CEA civil	nombre	0.0	0.0
CREUSE	23	RA08Etablissements de recherche (hors CEA)	nombre	0.0	0.0
CREUSE	23	RA08Installations industrielles (hors production d'électricité)	nombre	0.0	0.0
CREUSE	23	RA08Centres nucléaires de production d'électricité	nombre	0.0	0.0
CREUSE	23	RA08Activités médicales	nombre	0.0	0.0
CREUSE	23	RA08Etablissements de la défense nationale	nombre	0.0	0.0
CREUSE	23	RA08Centre d'étude, de production ou d'expérimentation de la force de dissuasion	nombre	0.0	0.0
CREUSE	23	RA08Amont du cycle du combustible	nombre	1.0	1.0
CREUSE	23	RA08Aval du cycle du combustible	nombre	0.0	0.0
CREUSE	23	RA08Etablissements de traitements des déchets ou de maintenance	nombre	0.0	0.0
CREUSE	23	RA08Sites d'entreposage et stockage	nombre	0.0	0.0
CREUSE	23	RA08Anciens sites assainis ou en cours d'assainissement	nombre	0.0	0.0
CREUSE	23	RA08Total des sites (non compris les sites assainis ou en cours d'assainissement)	nombre	1.0	1.0
DEUX-SEVRES	79	RA08Centres d'études et de recherche du CEA civil	nombre	0.0	0.0
DEUX-SEVRES	79	RA08Etablissements de recherche (hors CEA)	nombre	1.0	1.0
DEUX-SEVRES	79	RA08Installations industrielles (hors production d'électricité)	nombre	0.0	0.0
DEUX-SEVRES	79	RA08Centres nucléaires de production d'électricité	nombre	0.0	0.0
DEUX-SEVRES	79	RA08Activités médicales	nombre	2.0	1.0
DEUX-SEVRES	79	RA08Etablissements de la défense nationale	nombre	0.0	0.0
DEUX-SEVRES	79	RA08Centre d'étude, de production ou d'expérimentation de la force de dissuasion	nombre	0.0	0.0
DEUX-SEVRES	79	RA08Amont du cycle du combustible	nombre	0.0	0.0
DEUX-SEVRES	79	RA08Aval du cycle du combustible	nombre	0.0	0.0
DEUX-SEVRES	79	RA08Etablissements de traitements des déchets ou de maintenance	nombre	0.0	0.0
DEUX-SEVRES	79	RA08Sites d'entreposage et stockage	nombre	0.0	0.0
DEUX-SEVRES	79	RA08Anciens sites assainis ou en cours d'assainissement	nombre	0.0	0.0
DEUX-SEVRES	79	RA08Total des sites (non compris les sites assainis ou en cours d'assainissement)	nombre	3.0	2.0
DORDOGNE	24	RA08Centres d'études et de recherche du CEA civil	nombre	0.0	0.0
DORDOGNE	24	RA08Etablissements de recherche (hors CEA)	nombre	0.0	0.0
DORDOGNE	24	RA08Installations industrielles (hors production d'électricité)	nombre	0.0	0.0
DORDOGNE	24	RA08Centres nucléaires de production d'électricité	nombre	0.0	0.0
DORDOGNE	24	RA08Activités médicales	nombre	1.0	1.0
DORDOGNE	24	RA08Etablissements de la défense nationale	nombre	1.0	1.0
DORDOGNE	24	RA08Centre d'étude, de production ou d'expérimentation de la force de dissuasion	nombre	0.0	0.0
DORDOGNE	24	RA08Amont du cycle du combustible	nombre	0.0	0.0
DORDOGNE	24	RA08Aval du cycle du combustible	nombre	0.0	0.0
DORDOGNE	24	RA08Etablissements de traitements des déchets ou de maintenance	nombre	0.0	0.0
DORDOGNE	24	RA08Sites d'entreposage et stockage	nombre	0.0	0.0
DORDOGNE	24	RA08Anciens sites assainis ou en cours d'assainissement	nombre	1.0	1.0
